source,collected_at,title_raw,price,url,source_url,category_raw,rating,in_stock,availability,brand_raw,title_norm,category_norm,product_key
magalu,2026-02-12 20:05:49,"Notebook Positivo Vision R15 R58256 A-15 AMD Ryzen 5 8GB RAM SSD 256GB 15,6"" Full HD Windows 11 3002880",2879.10,https://www.magazineluiza.com.br/notebook-positivo-vision-r15-r58256-a-15-amd-ryzen-5-8gb-ram-ssd-256gb-156-full-hd-windows-11-3002880/p/238535100/in/ptvm/,,notebook,4.69,True,,Positivo,notebook positivo vision r15 r58256 a 15 amd ryzen 5 8gb ram ssd 256gb 15 6 full hd windows 11 3002880,notebook,ae8a16d852593feb4034d51cc26fae12e7602446
magalu,2026-02-12 20:05:47,"Notebook Gamer Acer Nitro V15 Intel Core i7-13620H, 16GB RAM, RTX 3050, SSD 512GB, 15.6"" FHD IPS, 144Hz, Linux, Preto - ANV15-51-73E9",6666.00,https://www.magazineluiza.com.br/notebook-gamer-acer-nitro-v15-intel-core-i7-13620h-16gb-ram-rtx-3050-ssd-512gb-15-6-fhd-ips-144hz-linux-preto-anv15-51-73e9/p/efh5h29dc6/in/nota/,,notebook,4.4,True,,Acer,notebook gamer acer nitro v15 intel core i7 13620h 16gb ram rtx 3050 ssd 512gb 15 6 fhd ips 144hz linux preto anv15 51 73e9,notebook,9a4d946c4eb651464b84a5bb658a218331ccf1f2
magalu,2026-02-12 20:05:45,Notebook Gamer Acer Nitro V15 ANV15-52-737P Intel Core i7-13620H 16GB RAM 512GB SSD RTX4050 FHD 15.6”,7299.00,https://www.magazineluiza.com.br/notebook-gamer-acer-nitro-v15-anv15-52-737p-intel-core-i7-13620h-16gb-ram-512gb-ssd-rtx4050-fhd-15-6/p/jbg12gcc20/in/ntbg/,,notebook,4.9,True,,Acer,notebook gamer acer nitro v15 anv15 52 737p intel core i7 13620h 16gb ram 512gb ssd rtx4050 fhd 15 6,notebook,6be9743a0185009f4f5ff4d651e0f8fb44156ac6
magalu,2026-02-12 20:05:43,"Notebook Acer Aspire 15 A15-51M-73WH Intel Core i7, 16GB RAM, 512GB SSD, 15.6"" LED, Linux, Preto - NX.J1RAL.002",4611.00,https://www.magazineluiza.com.br/notebook-acer-aspire-15-a15-51m-73wh-intel-core-i7-16gb-ram-512gb-ssd-15-6-led-linux-preto-nx-j1ral-002/p/he9g28k4gh/in/nota/,,notebook,4.6,True,,Acer,notebook acer aspire 15 a15 51m 73wh intel core i7 16gb ram 512gb ssd 15 6 led linux preto nx j1ral 002,notebook,36e2ecfd85649d740a1e7a14a1ba92387e5712c3
magalu,2026-02-12 20:05:41,Notebook Acer Nitro V15 Intel Core i5 13420H de 13ª Geração 15.6 FHD GeForce RTX3050 512GB SSD 8GB RAM Linux Gutta,5399.00,https://www.magazineluiza.com.br/notebook-acer-nitro-v15-intel-core-i5-13420h-de-13a-geracao-15-6-fhd-geforce-rtx3050-512gb-ssd-8gb-ram-linux-gutta/p/kdcdc7g8j7/in/nota/,,notebook,4.5,True,,Acer,notebook acer nitro v15 intel core i5 13420h de 13a geracao 15 6 fhd geforce rtx3050 512gb ssd 8gb ram linux gutta,notebook,b9aa121b0779bd9f7a1c2ad8cbcb717d644e37da
magalu,2026-02-12 20:05:38,"Notebook Acer Aspire 16 A16-71M-51UQ Intel Core Ultra 5, 16GB RAM, 1TB SSD, 16"""" WUXGA Led, IPS, 60Hz, Windows 11 - NX.JQLAL.002",4721.00,https://www.magazineluiza.com.br/notebook-acer-aspire-16-a16-71m-51uq-intel-core-ultra-5-16gb-ram-1tb-ssd-16-wuxga-led-ips-60hz-windows-11-nx-jqlal-002/p/cf2d67e9kd/in/nota/,,notebook,5.0,True,,Acer,notebook acer aspire 16 a16 71m 51uq intel core ultra 5 16gb ram 1tb ssd 16 wuxga led ips 60hz windows 11 nx jqlal 002,notebook,0abd3a221fae6a2151800e779c9dfc014166b252
magalu,2026-02-12 20:05:36,"Notebook Dell Inspiron I15-I1300-M70PS 15.6"" Full HD 13ªGen IntelCore i7 16GB 512GB SSD W11 Preto Carbono PremiumSupport",6159.00,https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-i1300-m70ps-15-6-full-hd-13agen-intelcore-i7-16gb-512gb-ssd-w11-preto-carbono-premiumsupport/p/hd1487f1jh/in/nodl/,,notebook,4.2,True,,Dell,notebook dell inspiron i15 i1300 m70ps 15 6 full hd 13agen intelcore i7 16gb 512gb ssd w11 preto carbono premiumsupport,notebook,281bd58cf5fe4d61da3c01286ff2ed785a1333b0
magalu,2026-02-12 20:05:34,Notebook Lenovo IdeaPad Slim 3i Intel Core i5 - 8GB RAM 512GB SSD + Microsoft 365 Personal Office,3599.00,https://www.magazineluiza.com.br/notebook-lenovo-ideapad-slim-3i-intel-core-i5-8gb-ram-512gb-ssd-microsoft-365-personal-office/p/239165400/in/leip/,,notebook,5.0,True,,Microsoft,notebook lenovo ideapad slim 3i intel core i5 8gb ram 512gb ssd microsoft 365 personal office,notebook,95a5b255fce1475b3aaecd02110fb6d73f0db752
magalu,2026-02-12 20:05:32,Notebook Lenovo IdeaPad Slim 3 83NS0002BR Intel CORE I5 13420H 8GB 512 GB SSD Tela 15.6 Windows 11 Home,2999.00,https://www.magazineluiza.com.br/notebook-lenovo-ideapad-slim-3-83ns0002br-intel-core-i5-13420h-8gb-512-gb-ssd-tela-15-6-windows-11-home/p/ck02b8h0bh/in/leip/,,notebook,4.86,True,,Lenovo,notebook lenovo ideapad slim 3 83ns0002br intel core i5 13420h 8gb 512 gb ssd tela 15 6 windows 11 home,notebook,e1e74c79306d0ad4f08bfb4262ce597779c7e65f
magalu,2026-02-12 20:05:30,"Notebook Dell Inspiron I15-I1300-M50P 15.6"" Full HD 13ª Gen Intel Core i5 16GB 512GB SSD Win 11 Preto Carbono",5159.00,https://www.magazineluiza.com.br/notebook-dell-inspiron-i15-i1300-m50p-15-6-full-hd-13a-gen-intel-core-i5-16gb-512gb-ssd-win-11-preto-carbono/p/cba2e4dkk5/in/nodl/,,notebook,4.5,True,,Dell,notebook dell inspiron i15 i1300 m50p 15 6 full hd 13a gen intel core i5 16gb 512gb ssd win 11 preto carbono,notebook,5533807aaccd99bc7f3775e2db88c8a75b67744b
magalu,2026-02-12 20:05:27,"Notebook Gamer Acer Nitro V15 Intel Core i5 13420H 15.6"" LED IPS RTX3050 512GB SSD 8GB RAM Linux 64 + Ubook kit 20 Livros Digitais",6500.00,https://www.magazineluiza.com.br/notebook-gamer-acer-nitro-v15-intel-core-i5-13420h-15-6-led-ips-rtx3050-512gb-ssd-8gb-ram-linux-64-ubook-kit-20-livros-digitais/p/ec20hcj61f/in/nota/,,notebook,4.0,True,,Acer,notebook gamer acer nitro v15 intel core i5 13420h 15 6 led ips rtx3050 512gb ssd 8gb ram linux 64 ubook kit 20 livros digitais,notebook,86728f40c06e54f5121d6e6d2b35a855a8e4f5e0
magalu,2026-02-12 20:05:25,Notebook Lenovo IdeaPad Slim 3 Ryzen 7 7735HS 8GB RAM 512GB SSD AMD Radeon Graphics 15.3 Linux,3699.00,https://www.magazineluiza.com.br/notebook-lenovo-ideapad-slim-3-ryzen-7-7735hs-8gb-ram-512gb-ssd-amd-radeon-graphics-15-3-linux/p/ekj7bead4g/in/leip/,,notebook,5.0,True,,Lenovo,notebook lenovo ideapad slim 3 ryzen 7 7735hs 8gb ram 512gb ssd amd radeon graphics 15 3 linux,notebook,a24e16f1cfa3e603bbd343c95321a39c609bcf49
magalu,2026-02-12 20:05:23,Notebook Dell Latitude 5431 14 16 GB 256 GB SSD Core i5-1250P,2567.00,https://www.magazineluiza.com.br/notebook-dell-latitude-5431-14-16-gb-256-gb-ssd-core-i5-1250p/p/gg9ef515d7/in/nodl/,,notebook,,True,,Dell,notebook dell latitude 5431 14 16 gb 256 gb ssd core i5 1250p,notebook,14f7292711bc451288412533264f395ee76ec111
